Title,Salary,Location,Employment Type
Media buyer (Facebook),"Pro Gaming Software, LTD",Дистанційно,Повна зайнятість
UX/UI Designer (Mobile),Screen Interactive,Київ,Повна зайнятість
SMM-менеджер,Corytech,Київ,Повна зайнятість
Маркетолог (проєкт Kids UA),Bini Games,Дистанційно,Повна зайнятість
Проєктний менеджер ГО,Bini Games,Дистанційно,Повна зайнятість
"Proofreader, Linguistic quality control specialist",Devabit,Львів,Повна зайнятість
Customer Support Specialist (Gamedev),Urmobi,Дніпро,Повна зайнятість
Контент-маркетолог,ToDo,Київ,Повна зайнятість
Office Manager (237),Helsi,Київ,Повна зайнятість
Комунікаційний менеджер,Дія,Київ,Повна зайнятість
Юрист,Дія,Київ,Повна зайнятість
Customer Care Agent (English and French),Gameloft,Дистанційно,Повна зайнятість
Business Analyst,Join.To.IT,Київ,Повна зайнятість
WordPress-розробник,Rivo.Agency,Дистанційно,Повна зайнятість
UI/UX-дизайнер (Trainee/Junior),Varti Studio,Дніпро,Повна зайнятість
Junior Content Writer,HYS Enterprise,Одеса,Повна зайнятість
Sales Lead (IT),Clario,Дистанційно,Повна зайнятість
Інженер-технолог зі створення документації ЧПУ,Netronic,Київ,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Кам'янець-Подільський,Повна зайнятість
Фінансовий менеджер,bill_line,Київ,Повна зайнятість
Менеджер з продажу у Львів,61 000 – 80 000 грн,Львів шукаємо у Дніпрі,Повна зайнятість
Менеджер з продажу,35 000 – 50 000 грн,Івано-Франківськ,Повна зайнятість
"ГІС-спеціаліст, камеральник для обробки даних лазерного сканування",20 000 – 35 000 грн,Київ,Повна зайнятість
3D Modeler,36 000 – 54 000 грн,Дистанційно,Повна зайнятість
"Проджект-менеджер, бізнес-аналітик",Медирент,Київ,Повна зайнятість
Middle .NET Engineer,"НетЛС, ТОВ",Івано-Франківськ,Повна зайнятість
Trainee QA Engineer (IoT projects),Lemberg Solutions LLC,Львів,Повна зайнятість
PHP Developer (Symfony),PSPCube,Дистанційно,Повна зайнятість
Sales Executive (German and English),Jooble,Дистанційно,Повна зайнятість
SEO-спеціаліст,Patternica,Дистанційно,Неповна зайнятість
"E-commerce Category, Vertical Lead (Prom.ua)",EVO,Дистанційно,Повна зайнятість
Operation Manager (FinTech),EvoPlay,Київ,Повна зайнятість
Драйв-тестер,Дія,Київ,Повна зайнятість
Контент-мейкер (YouTube),Treeum,Київ,Повна зайнятість
Oracle PL/SQL Developer,Медирент,Київ,Повна зайнятість
Financial specialist,EvoPlay,Київ,Повна зайнятість
"Junior, Middle Lead Generation Specialist",SmartTek Solutions,Львів,Повна зайнятість
