Title,Salary,Location,Employment Type
CEO's assistant,29 000 грн,Дистанційно,Повна зайнятість
Менеджер з реєстрації нових користувачів (з навчанням),26 000 – 30 000 грн,Київ,Повна зайнятість
Fullstack Javascript Developer,80 000 – 100 000 грн,Дистанційно,Повна зайнятість
"Fullstack Python, React Developer",80 000 – 100 000 грн,Дистанційно,Повна зайнятість
"React developer (Trainee, Junior)",12 000 – 25 000 грн,Львів,Повна зайнятість
IOS Developer,DodoTap,Дистанційно,Повна зайнятість
"Підсобний робітник, різноробочий",Infozahyst,Київ,Повна зайнятість
"Legal Officer, Contract lawyer",Corytech,Київ,Повна зайнятість
"Викладач JS, CSS, HTML, Python, Unity (програмування для дітей)",Romstal (Лiвобережний),Київ,"Повна зайнятість, неповна зайнятість"
Менеджер отдела продаж,42 000 – 126 000 грн,Дистанційно,Повна зайнятість
Graphic Designer,Designers,Дистанційно,Повна зайнятість
Руководитель отдела продаж,80 000 – 200 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу (авто з США),Zviger LLC,Дистанційно,Повна зайнятість
"Автор студентських робіт (дипломні, дисертації, курсові)",10 000 – 30 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Project-менеджер,Webtune,Львів,Повна зайнятість
"Sales, Project manager",Artius Soft,Дистанційно,Повна зайнятість
"Контент-менеджер, тестировщик в немецкий стартап",12 000 – 17 000 грн,Дистанційно,Повна зайнятість
"JavaScript, Angular developer (Trainee, Junior)",Appexoft,Львів,Повна зайнятість
"User Acquisition, Media Buyer, Marketing manager",24Play,Київ,Повна зайнятість
"Sales Support Representative, Client Partner","Zeely, Inc.",Дистанційно,Повна зайнятість
PPC-спеціаліст (Google Ads),40 000 – 60 000 грн,Дистанційно,Повна зайнятість
Бухгалтер з супроводу ERP-системи ISPro,Linkos Group,Київ,Повна зайнятість
Бізнес-аналітик,Artellence,Київ,Повна зайнятість
QA Engineer,Urmobi,Дніпро,Повна зайнятість
"Customer support, care manager",Netgame,Дистанційно,Повна зайнятість
"SMM-спеціаліст для українського сервісу (Instagram, TikTok, Facebook)",12 000 – 20 000 грн,Дистанційно,Повна зайнятість
"Менеджер з продажу (IT, B2B)",25 000 грн,Київ,Повна зайнятість
2D-аніматор (Spine),25 000 – 50 000 грн,Луцьк,Повна зайнятість
"AI Automation, Generative AI developer",41 000 грн,Дистанційно,Повна зайнятість
Fullstack Developer,35 000 – 45 000 грн,Дистанційно,Повна зайнятість
Проєктний координатор в IT-компанію,15 000 – 30 000 грн,Тернопіль,Повна зайнятість
Front-end developer,Out of the Box Systems,Дистанційно,Повна зайнятість
Lead generation specialist,12 000 – 18 000 грн,Дистанційно,Повна зайнятість
Front end developer (Vue.js),Litanin llc,Дистанційно,Повна зайнятість
"Junior Public Relations Writer (English), волонтер","15А, гостевой дом",Дистанційно,"Повна зайнятість, неповна зайнятість"
Project Manager,Colossus Technologies Inc.,Дистанційно,Повна зайнятість
C# Asp .NET CORE Developer,"Юрченко О.Р., ФОП",Дистанційно,Повна зайнятість
"Intern, Web Developer for a startup",BitSlap.it,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Senior Web Developer, Tech Lead",FluidWeb,Дистанційно,Повна зайнятість
"PPC-спеціаліст, таргетолог (Google Ads)",15 000 – 45 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Ассистент керівника (з навчанням),23 000 – 28 000 грн,Київ,Повна зайнятість
Сервісний інженер,Мегатрейд,Київ,Повна зайнятість
Спеціаліст технічної підтримки,30 000 – 35 000 грн,Київ,Повна зайнятість
Бухгалтер з ПДВ,"Смарт Сінерджи, ТОВ",Київ,Повна зайнятість
Менеджер з туризму (інтерн),10 000 грн,Дистанційно,Неповна зайнятість
"Проєктний менеджер, Event-координатор",Noosphere,Дніпро,Повна зайнятість
Методист-консультант BAS (1C),20 000 – 35 000 грн,Дніпро,Повна зайнятість
Програміст конфігурації BAS,20 000 – 35 000 грн,Кропивницький,Повна зайнятість
"Фахівець з впровадження (BAS, KBS, ПО для бухгалтерського обліку)",Айті Сервіс+,Вінниця,"Повна зайнятість, неповна зайнятість"
Strong Middle React Native Developer,Web CEO,Дистанційно,Повна зайнятість
Middle C# WinForms/WPF developer,ТМСофт,Дистанційно,Повна зайнятість
Помічник фінансового спеціаліста (контроль над рахунками),"Вісервісес, ТОВ",Київ,Повна зайнятість
Outreach Specialist (English),Growica,Київ,Повна зайнятість
"Відеомодель, актор для зйомок відео IT-послуг","Гореліков О.О., ФОП",Дистанційно,Повна зайнятість
"Content Moderator (Facebook, Website)",AMO,Дистанційно,Повна зайнятість
"Дизайнер одягу (в'язані речі), Fashion Designer",20 000 – 30 000 грн,Дистанційно,Неповна зайнятість
"Front-end developer, веброзробник (middle)","Гореліков О.О., ФОП",Дистанційно,Повна зайнятість
"Веброзробник WordPress Full-stack (backend, frontend)","Гореліков О.О., ФОП",Дистанційно,Повна зайнятість
Customer support representative,25 000 – 37 000 грн,Дистанційно,Повна зайнятість
Адміністратор соц. мереж,24 000 – 29 000 грн,Київ,Повна зайнятість
"Головний редактор, керівник фармацевтичного медіа",Evolution Studio,Дистанційно,Повна зайнятість
"Електронник, інженер-електрик, монтажник сигнальної проводки",25 000 – 40 000 грн,Рівне,"Повна зайнятість, неповна зайнятість"
Trainee/Junior Front-End Developer,Inforce,Львів,Повна зайнятість
"Architect, HVAC, Mechanical Engineer",25 000 – 40 000 грн,Дистанційно,Повна зайнятість
Project manager,"ГІОЦ, КП (Головний інформаційно-обчислювальний центр Києва)",Київ,Повна зайнятість
Back-end developer (Laravel),CF.Digital,Дистанційно,Повна зайнятість
SMM-менеджер,Нома,Дистанційно,Неповна зайнятість
"Керівник відділу продажів, менеджер з продажу",15 000 – 40 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажів ПЗ і даних,15 000 – 25 000 грн,Київ,Повна зайнятість
MS Dynamics 365 F&O Developer,Out Smart Team,Дистанційно,Повна зайнятість
"Трейдер (з навчанням, Forex, metals, oil, indices, crypto)",30 000 – 45 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Менеджер, адміністратор, помічник онлайн-платформи",10 000 – 20 000 грн,Чернігів,Повна зайнятість
Opencart developer,15 000 – 35 000 грн,Дистанційно,Повна зайнятість
"Програміст PHP, Backend Developer",20 000 – 45 000 грн,Дистанційно,Повна зайнятість
Спеціаліст з електронних довірчих послуг,Дія,Київ,Повна зайнятість
Фахівець з мережевої безпеки відділу електронних довірчих послуг,Дія,Київ,Повна зайнятість
Personal Assistant to Executive,CHI Software,Дистанційно,Повна зайнятість
Провідний інженер з керування й обслуговування систем ЦЗО,Дія,Київ,Повна зайнятість
Back-end developer у Кривий Ріг,Perspective,Кривий Ріг шукаємо у Шостці,Повна зайнятість
Збирач БпЛА,30 000 – 40 000 грн,Київ,Повна зайнятість
Office Coordinator,20 000 – 30 000 грн,Київ,Повна зайнятість
Інвестиційний консультант,15 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Junior Data Specialist,20 500 – 25 500 грн,Львів,Повна зайнятість
Lead Backend (Node.js) Developer,FansCRM,Дистанційно,Повна зайнятість
Помічник менеджера по роботі з корпоративними замовниками,"МВКОМ, ТОВ",Рівне,Повна зайнятість
HR manager,17 000 – 29 000 грн,Львів,Повна зайнятість
Менеджер з продажу в онлайн-школу (теплі ліди),14 000 – 25 000 грн,Дистанційно,Повна зайнятість
"Менеджер по роботі з клієнтами в онлайн-школу, куратор",11 000 – 12 000 грн,Дистанційно,Повна зайнятість
"Web-, графічний дизайнер","Новий горизонт 2021, ТОВ",Дніпро,Повна зайнятість
"Відеодизайнер, режисер монтажу",YouCom,Дистанційно,"Повна зайнятість, неповна зайнятість"
Офіс-менеджер у приймальню,Дія,Київ,Повна зайнятість
Менеджер з продукту (CAD Decor),16 000 – 20 500 грн,Дистанційно,Неповна зайнятість
IT Content Writer,Dataforest,Дистанційно,Неповна зайнятість
Executive assistant,40 000 грн,Дистанційно,Повна зайнятість
"Trainee, Junior React Developer",12 000 – 20 000 грн,Київ,Повна зайнятість
Manual QA engineer,VRG Soft,Дніпро,Повна зайнятість
"System Administrator C#, Databases",Divi XYZ Media GmbH,Дистанційно,Повна зайнятість
Продавець-консультант,35 000 грн,Київ,Повна зайнятість
PPС Specialist,Translators,Дистанційно,Повна зайнятість
Інженер-електрик,30 000 – 40 000 грн,Київ,Повна зайнятість
"Менеджер з продажу (В2В, ІТ)",SIM-Networks,Дистанційно,Повна зайнятість
Web designer,40 000 – 50 000 грн,Запоріжжя,Повна зайнятість
SMM-менеджер,DiJust,Київ,Повна зайнятість
"QA, Support Engineer (student, trainee)",Logivations,Львів,Повна зайнятість
IT Project Manager,Varteq Inc.,Дистанційно,Повна зайнятість
"Machine Learning, Python Developer",Logivations,Львів,Повна зайнятість
2D-аніматор (індустрія онлайн-ігор),25 000 – 45 000 грн,Дистанційно,Повна зайнятість
Amazon Project Manager (Kindle Direct Publishing),Divi XYZ Media GmbH,Дистанційно,Повна зайнятість
Amazon Review Management Specialist,Divi XYZ Media GmbH,Дистанційно,Повна зайнятість
Менеджер з продажу (IT-рішення та інформаційна безпека),20 000 – 25 000 грн,Дистанційно,Повна зайнятість
Спеціаліст Service Desk,Sii Ukraine,Київ,Повна зайнятість
Affiliate manager (PDL),"Шваюк Є.Ю., ФОП",Дистанційно,Повна зайнятість
SEO-спеціаліст,42 000 – 62 250 грн,Дистанційно,Повна зайнятість
Системний адміністратор (Linux),ITFB,Дистанційно,"Повна зайнятість, неповна зайнятість"
"SMM, content manager, marketer (Crypto)",24 000 – 60 000 грн,Дистанційно,Повна зайнятість
Game Designer,"Factura, IT-компанія",Дистанційно,Повна зайнятість
Менеджер по роботі з ключовими клієнтами,Wise IT,Київ,Повна зайнятість
"Контент-менеджер, копирайтер",21 000 – 24 500 грн,Київ,Повна зайнятість
Lead generation manager,Rems_Сompany,Дистанційно,Повна зайнятість
"Тестувальник (письмова, розмовна англійська)",20 000 – 50 000 грн,Дистанційно,Повна зайнятість
Project manager,Софт Генерація,Вінниця,Повна зайнятість
"Copywriter, Lead Content Manager",50 000 – 75 000 грн,Дистанційно,Повна зайнятість
Репетитор англійської,20 000 – 40 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Програміст BAS, 1С",40 000 – 60 000 грн,Черкаси,Повна зайнятість
AutoCad Specialist,20 700 – 29 000 грн,Дистанційно,Повна зайнятість
Помічник юриста,"МВКОМ, ТОВ",Рівне,Повна зайнятість
HR-менеджер,"МВКОМ, ТОВ",Рівне,Повна зайнятість
Інженер з впровадження та підтримки програмного забезпечення у Коцюбинське,25 000 – 35 000 грн,Коцюбинське шукаємо у Києві,Повна зайнятість
Lead generation manager,30 000 – 65 000 грн,Дистанційно,Повна зайнятість
"Аналітик 1С, BAS",Всеукраїнські системи управління,Дистанційно,"Повна зайнятість, неповна зайнятість"
SEO manager,RemotEmployees,Дистанційно,Повна зайнятість
"Клієнт-менеджер (чеська, польська)",40 000 – 105 000 грн,Київ,Повна зайнятість
Live Game Development Coordinator (Preferably with Unity Developer Background),Hazmob,Львів,Повна зайнятість
BizDev-юрист відділу міжнародних зв'язків,15 000 – 25 000 грн,Львів,Повна зайнятість
Менеджер з продажу хмарних послуг,Парковий датацентр,Київ,Повна зайнятість
Консультант з впровадження ПЗ,"Джей Сольюшенс, ТОВ",Київ,Повна зайнятість
"Спеціаліст з інтеграції інструментів штучного інтелекту (AI-інструменти, GPT)",20 000 грн,Дистанційно,Повна зайнятість
Administration Specialist (E-commerce),Maximum Stores E-commerce Company,Дистанційно,Повна зайнятість
Помічник бухгалтера (стажер),21 000 – 24 000 грн,Київ,Повна зайнятість
Помічник офіс-менеджера,29 000 грн,Київ,Повна зайнятість
Senior Frontend developer (Vue),180 000 – 200 000 грн,Дистанційно,Повна зайнятість
Senior PHP developer,125 000 – 140 000 грн,Дистанційно,Повна зайнятість
Клієнт-менеджер зі знанням німецької,60 000 – 105 000 грн,Київ,Повна зайнятість
"Клієнт-менеджер (польська, чеська, німецька)",35 000 – 90 000 грн,Івано-Франківськ,Повна зайнятість
Адміністратор офісу (філії),23 500 – 28 000 грн,Київ,Повна зайнятість
Менеджер з продажу SMM-послуг,26 000 – 33 000 грн,Київ,Повна зайнятість
Менеджер з підтримки клієнтів,Lviv IT Cluster,Львів,Повна зайнятість
Офіс-менеджер в IT-компанію,Incora,Львів,Повна зайнятість
Помічник керівника,30 000 – 65 000 грн,Київ,Повна зайнятість
SEO specialist,40 000 – 60 000 грн,Дистанційно,Повна зайнятість
Молодший спеціаліст групи технічної підтримки зі знанням івриту,32 000 – 36 000 грн,Дистанційно,Повна зайнятість
Викладач німецької мови (онлайн),20 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Lead Generation Specialist,12 000 – 25 000 грн,Дистанційно,Повна зайнятість
Фахівець роботи з клієнтами,15 000 грн,Рівне,Повна зайнятість
Technical writer,30 000 – 50 000 грн,Київ,Повна зайнятість
PPC-спеціаліст,16 000 – 30 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Менеджер з продажу (B2B),20 000 – 45 000 грн,Дистанційно,Повна зайнятість
Інженер-монтажник систем безпеки та СКС,25 000 грн,Київ,Повна зайнятість
"Full-stack (React, Node.js) developer",Luxe Quality,Дистанційно,Повна зайнятість
WordPress developer,"RGB, вебстудія",Дистанційно,Неповна зайнятість
Lead generation manager,18 000 – 26 000 грн,Дистанційно,Повна зайнятість
Head of Sales (SaaS-продукт),85 000 – 130 000 грн,Дистанційно,Повна зайнятість
SEO-спеціаліст,AutoMoto.ua,Вінниця,Повна зайнятість
"Full Stack Developer (Laravel, HTML, CSS3, JS, jQuery, PHP, MySQL)",Redpix Production,Дистанційно,"Повна зайнятість, неповна зайнятість"
Project Manager (IT),25 000 – 40 000 грн,Дистанційно,Повна зайнятість
SEO-спеціаліст,"Sportimen, LTD",Дистанційно,Повна зайнятість
UX designer,60 000 – 80 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Project manager,15 000 – 20 000 грн,Дистанційно,Повна зайнятість
Business Development Manager,TapOk,Дистанційно,Повна зайнятість
Middle WordPress Developer,44 000 – 56 000 грн,Черкаси,Повна зайнятість
Lead generation specialist,20 000 – 36 000 грн,Черкаси,Повна зайнятість
Junior PHP Developer,33 000 – 44 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Trainee Software Engineer (Frontend),14 000 – 15 000 грн,Київ,Повна зайнятість
Асистент керівника,15 000 – 35 000 грн,Львів,Повна зайнятість
Junior Content Manager,8 000 – 16 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу,40 000 грн,Дистанційно,Повна зайнятість
Python Developer,Ronis Commerce OÜ,Дистанційно,Повна зайнятість
"Visual Analyst, Support specialist",18 500 грн,Дистанційно,Повна зайнятість
Юрист,Onlyplay,Дистанційно,Повна зайнятість
Кур'єр на власному авто,20 000 – 25 000 грн,Київ,Повна зайнятість
Lead Generation Specialist,Eleken,Дистанційно,Повна зайнятість
IT-інженер (виїздний),15 000 – 35 000 грн,Київ,Повна зайнятість
Менеджер по роботі з клієнтами,Zviger LLC,Одеса,Повна зайнятість
Technical Support Manager,25 000 – 32 000 грн,Дистанційно,Повна зайнятість
Ретушер цифрових фотографій,12 000 – 20 000 грн,Дистанційно,Неповна зайнятість
Менеджер зі збуту ІТ-обладнання,20 000 – 50 000 грн,Київ,Повна зайнятість
Інженер електроніки,Kindgeek,Львів,Повна зайнятість
Senior SMM Specialist,40 000 – 100 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу IT-продуктів,40 000 грн,Дистанційно,Повна зайнятість
"Front-end .NET Developer (Angular, .NETCore, TypeScript)",50 000 – 85 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Контент-менеджер,13 000 – 16 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу (IT),20 000 – 40 000 грн,Дистанційно,Повна зайнятість
Customer service representative,14 000 – 18 000 грн,Дистанційно,Повна зайнятість
SMM-менеджер,"Труш Я. С., ФОП",Дистанційно,Повна зайнятість
"Middle Flutter developer, розробник мобільних додатків",33 000 – 42 000 грн,Дистанційно,Неповна зайнятість
Менеджер з продажу,25 000 – 40 000 грн,Дистанційно,Повна зайнятість
Middle Laravel Developer,70 000 – 90 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Фахівець з розробки штучного інтелекту,150 000 – 250 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Middle UX/UI designer,30 000 – 50 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Креативний SMM-Менеджер,Spefix,Дистанційно,Повна зайнятість
Офіс-менеджер в IT-компанію,22 000 – 25 000 грн,Київ,Повна зайнятість
"Level Designer, Environment Artist (Junior, Mid.)",JustCreate,Дистанційно,Повна зайнятість
"Full Stack Developer (Mini Apps, Crypto Projects)",123 849 – 166 254 грн,Дистанційно,Повна зайнятість
"PHP-програміст (back-end, Middle, Middle+)",80 000 грн,Дистанційно,Повна зайнятість
Адміністратор IT-cистем,25 000 грн,Київ,Повна зайнятість
Менеджер підтримки В2В-партнерів,22 000 – 26 000 грн,Київ,Повна зайнятість
"Менеджер проєктів (впровадження CRM, систем автоматизації)",30 000 – 50 000 грн,Дистанційно,Повна зайнятість
"Менеджер з продажу (B2B, gamedev)",20 000 – 30 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Full-Stack розробник,35 000 – 45 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Бізнес-аналітик (BAS),Медіа Сервіс,Львів,Повна зайнятість
HR Operation Manager,Gamicorp,Дистанційно,Повна зайнятість
Інженер систем відеоспостереження,"Універсальні інформаційні технології, ТОВ",Київ,Повна зайнятість
Senior PHP Developer-Server-Side Focus,200 000 – 275 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу,25 000 – 30 000 грн,Київ,Повна зайнятість
Finance Operation Specialist,Devart,Дистанційно,Повна зайнятість
SEO-спеціаліст,18 000 – 40 000 грн,Дистанційно,Повна зайнятість
Спеціаліст у відділ технічної підтримки PawnShop,20 000 – 22 000 грн,Дистанційно,Повна зайнятість
Помічник керівника,16 000 – 26 000 грн,Дніпро,"Повна зайнятість, неповна зайнятість"
"Программист PHP, Back-end developer (Laravel)",35 000 – 50 000 грн,Дніпро,"Повна зайнятість, неповна зайнятість"
"Front-end програміст (React, NodeJS)",20 000 – 30 000 грн,Дніпро,Повна зайнятість
Менеджер по роботі з клієнтами,IT Innovations,Київ,Повна зайнятість
Інтернет-маркетолог,30 000 – 60 000 грн,Київ,Повна зайнятість
Project Manager,Peeklogic,Львів,Повна зайнятість
Маркетолог,Українське бюро кредитних історій,Дніпро,Повна зайнятість
Начальник відділу інформаційної безпеки,"Відкриті Публічні Фінанси, ДУ",Київ,Повна зайнятість
"Narrative, Game Designer",GrandMA Studios,Дистанційно,Повна зайнятість
"Агент по роботі з комерційною нерухомістю, менеджер",35 000 – 40 000 грн,Одеса,Повна зайнятість
"Системний адміністратор, інженер техпідтримки хостингу",20 000 – 22 000 грн,Хмельницький,Повна зайнятість
React/React Native developer,18 000 – 50 000 грн,Хмельницький,Повна зайнятість
Game designer,Shadow Eagle Studios,Дистанційно,Повна зайнятість
Таргетолог в ІТ-компанію,15 000 – 30 000 грн,Тернопіль,Повна зайнятість
"SMM-менеджер, контент-мейкер, ШІ-інтегратор (SPA, басейни)",18 000 грн,Дистанційно,Повна зайнятість
Senior Python developer,Mellifera Operations Limited,Дистанційно,"Повна зайнятість, неповна зайнятість"
"SEO-копірайтер зі створення оглядів ігор, content creator",10 000 – 15 000 грн,Дистанційно,Повна зайнятість
"Linkbuilder, Crowd Marketer",Mobilunity,Дистанційно,Повна зайнятість
"Регіональний агент впровадження ""Мрії""","Мрія, освітній застосунок",Івано-Франківськ,Повна зайнятість
"Регіональний агент впровадження ""Мрії""","Мрія, освітній застосунок",Одеса,Повна зайнятість
"Регіональний агент впровадження ""Мрії""","Мрія, освітній застосунок",Миколаїв,Повна зайнятість
"Регіональний агент впровадження ""Мрії""","Мрія, освітній застосунок",Київ,Повна зайнятість
"Регіональний агент впровадження ""Мрії""","Мрія, освітній застосунок",Запоріжжя,Повна зайнятість
"Регіональний агент впровадження ""Мрії""","Мрія, освітній застосунок",Дніпро,Повна зайнятість
Manual QA Engineer,Varteq Inc.,Дистанційно,Повна зайнятість
"SMM-, PR-менеджер",JobAtlas,Київ,Повна зайнятість
"Trainee, Junior UI/UX Designer",Appexoft,Львів,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Дистанційно,Повна зайнятість
Менеджер служби підтримки,15 000 грн,Львів,Повна зайнятість
Веброзробник,10 000 грн,Дистанційно,Повна зайнятість
"HR-менеджер (пошук персоналу, IT)","Evocommerce, LTD",Дистанційно,"Повна зайнятість, неповна зайнятість"
"Контент, офіс-менеджер (інтернет-магазин предметів колекціонування)",14 000 – 17 000 грн,Луцьк,Повна зайнятість
Presale information security engineer,Belintech,Київ,Повна зайнятість
Бухгалтер (облік ПДВ),Belintech,Київ,Повна зайнятість
Мережевий інженер,Belintech,Київ,Повна зайнятість
"Procurement, Logistics Manager",PocketBook,Дистанційно,Повна зайнятість
Motion Designer,Steadfast Craft,Дистанційно,Повна зайнятість
Digital Marketing Specialist (Intern/Junior),Together Networks,Дистанційно,Повна зайнятість
"Desktop Publishing Engineer, Proofreader",Devabit,Львів,Повна зайнятість
Водій,25 000 грн,Київ,Повна зайнятість
Compliance Manager (HOLYWATER),"Genesis, ІТ-компанія",Київ,Повна зайнятість
Сервісний інженер (англійська мова),Украинская компьютерная лаборатория,Київ,Повна зайнятість
Support manager (payments),Corytech,Київ,Повна зайнятість
Копірайтер (мобільні ігри),14 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу,10 000 – 12 000 грн,Тернопіль,Повна зайнятість
Менеджер по роботі з партнерами,15 000 – 18 000 грн,Тернопіль,Повна зайнятість
"Team lead, Full Stack developer (Laravel, PHP)",72 000 – 112 000 грн,Дистанційно,Повна зайнятість
Адміністратор сайту,"Компанцев І., ФОП",Дистанційно,Повна зайнятість
Покоївка в готель при спортивному комплексі,13 000 – 15 000 грн,Київ,Повна зайнятість
Сервісний інженер,ВВС-Сервіс,Івано-Франківськ,Повна зайнятість
Контент-менеджер,25 000 грн,Київ,Повна зайнятість
QA Engineer,20 000 – 30 000 грн,Київ,Повна зайнятість
Front-end developer,Релокія,Тернопіль,Повна зайнятість
Web designer,White Label Agency,Полтава,Повна зайнятість
Shopify Developer,Appexoft,Львів,Повна зайнятість
Системний адміністратор,25 000 грн,Київ,Повна зайнятість
Персональний асистент,Right Link,Дистанційно,"Повна зайнятість, неповна зайнятість"
Системний адміністратор (DevOps),Dream Lab,Луцьк,Повна зайнятість
Game developer (2D),Dream Lab,Луцьк,Повна зайнятість
QA Engineer,Cleveroad Inc.,Дніпро,Повна зайнятість
Системний адміністратор,De Novo,Київ,Повна зайнятість
Експерт з автоматизації та воронкам (no code automation),25 000 – 40 000 грн,Дистанційно,Повна зайнятість
Fullstack Developer,20 000 – 50 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Python-програміст,15 000 – 20 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
SMM-копирайтер,10 000 – 15 000 грн,Дистанційно,Повна зайнятість
Інженер з обслуговування банкоматів,30 000 грн,Львів,Повна зайнятість
Accountant Assistant,"Zone3000, IT company",Львів,Повна зайнятість
Email-marketer (E-commerce),Maximum Stores E-commerce Company,Дистанційно,Повна зайнятість
"Web, Mobile, UI/UX Designer",15 000 – 22 000 грн,Луцьк,Повна зайнятість
"Програміст PHP (стажер, інтерн)",12 000 – 16 000 грн,Запоріжжя,Повна зайнятість
Інженер з обслуговування банкоматів,35 000 грн,Біла Церква,Повна зайнятість
HR Manager,40 000 – 60 000 грн,Київ,Повна зайнятість
Android Development Intern,Deviark,Львів,Неповна зайнятість
Гейм-тестер,"Рекшинський Б.В., ФОП",Дистанційно,"Повна зайнятість, неповна зайнятість"
Junior DevOps Engineer,Zagroza digital agency,Дистанційно,Повна зайнятість
Senior Embedded Firmware Engineer,GT,Дистанційно,Повна зайнятість
Direct manager,IT UA,Дистанційно,Повна зайнятість
Senior Recruiter,Cor-Team,Дистанційно,Повна зайнятість
"Програміст 1C, BAS",35 000 – 65 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Менеджер з продажу в онлайн-школу,21 000 – 60 000 грн,Дистанційно,Повна зайнятість
Помічниця менеджера з продажу,8 000 – 15 000 грн,Дистанційно,Повна зайнятість
"Copywriter, Content Writer",Rondesign,Дистанційно,Неповна зайнятість
Маркетолог (PPC),MagneticOne,Дистанційно,Повна зайнятість
"Middle Full Stack, Web developer (Node.js, React)",50 000 – 80 000 грн,Дистанційно,Повна зайнятість
Junior Android Developer,25 000 грн,Київ,Повна зайнятість
Trainee Backend developer,TenThousand,Дистанційно,Повна зайнятість
"Backend Intern for IT (Node.js, JavaScript, React)",ITeam,Київ,Повна зайнятість
DevOps engineer,Unity-Bars,Київ,Повна зайнятість
Молодший системний адміністратор,IT4Business,Київ,Повна зайнятість
PHP Backend Developer (Laravel),10 000 – 30 000 грн,Хмельницький,Повна зайнятість
Front-End Developer (Trainee),Radar limited,Дистанційно,"Повна зайнятість, неповна зайнятість"
Інженер-розробник (Embedded),25 000 – 37 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Менеджер з продажу,20 000 грн,Дистанційно,Повна зайнятість
Ведуча для YouTube-каналу (весільна індустрія),15 000 грн,Дистанційно,Неповна зайнятість
"SMM-спеціаліст, таргетолог",Webtune,Львів,"Повна зайнятість, неповна зайнятість"
Бухгалтер-економіст,25 000 – 35 000 грн,Дистанційно,Повна зайнятість
Спеціаліст відділу продажів в хостингову компанію,21 000 – 23 000 грн,Дистанційно,Повна зайнятість
Розробник C++,New Normal,Черкаси,Повна зайнятість
UX/UI designer (Figma),30 000 – 40 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Бізнес-аналітик (Junior),12 000 – 16 000 грн,Дистанційно,Повна зайнятість
SMM-менеджер,25 000 грн,Львів,"Повна зайнятість, неповна зайнятість"
Інтегратор CRM Kommo (Amo),15 000 – 25 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Project-менеджер,25 000 – 40 000 грн,Львів,Повна зайнятість
HR-менеджер,10 000 – 20 000 грн,Дистанційно,Повна зайнятість
"Майстер з ремонту техніки, електронщик",28 000 – 35 000 грн,Київ,Повна зайнятість
Розробник ігор (HTML5 Construct),10 000 грн,Дистанційно,Повна зайнятість
Customer support manager,Webport Technology,Дистанційно,Повна зайнятість
"Водій на ""Міксер"" для транспортування бетону",Uatrade,Одеса,Повна зайнятість
"Outreach, Campaign Manager",Eventyr,Дистанційно,Повна зайнятість
"Project Manager (Digital, IT-проєкти)",50 000 – 80 000 грн,Київ,Повна зайнятість
Junior Talent Sourcer,Playtini,Київ,Повна зайнятість
"Технічний спеціаліст, інженер з комп'ютерних систем (продажі)",Asap Demo LLC,Київ,Повна зайнятість
"SDR Lead Engineer (Middle, Senior)",Asap Demo LLC,Київ,Повна зайнятість
Senior Accountant,Symphony Solution,Львів,Повна зайнятість
SharePoint адміністратор,Triangu Ukraine LLC,Дистанційно,Повна зайнятість
Менеджер з продажу,40 000 – 100 000 грн,Дистанційно,Повна зайнятість
PLC programmer,40 000 – 100 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Content Manager,"Прозорро.Продажі, АТ",Київ,Повна зайнятість
Lead generation specialist,Computools,Дистанційно,Повна зайнятість
Керівник відділу по роботі з клієнтами,20 000 – 40 000 грн,Дистанційно,Повна зайнятість
